service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,EX,RES,Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,Farm Debt Mediation Act,Loi sur la médiation en matière d’endettement agricole,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,ES,N,NA,NA,NA,NA,NA,NA,aafc-aac,2016-2017,1,4,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,2.2.1,N,,282,,0,0,,,0,,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service
The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-1,aafc-aac - 01,aafc-aac - Farm Debt Mediation Service,
AgriMarketing Program Assurance Systems,"Programme Agri-marketing, volet Systèmes d'assurance",EX,RES,Provides funding for the development of national assurance systems and standards to support the Canadian agriculture products industry in meeting buyer and market demand for assurance and to enhance its competitiveness at home and abroad.,Offre du financement pour l'élaboration de normes et de systèmes nationaux d'assurance pour aider l'industrie canadienne des produits agricoles à répondre aux demandes d'assurance des acheteurs et des marchés et pour accroître la capacité concurrentielle au Canada comme à l'étranger.,TB Submission,Présentation au Conseil du Trésor,AgriMarketing,Agri-marketing,ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,2,1,,,1.2.4,N,,16,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-2,aafc-aac - 02,"aafc-aac - AgriAssurance
 National Industry Association Component",
AgriMarketing Program Market Development,"Programme Agri-marketing, volet Développement des marchés",EX,RES,Provides funding to industry associations and small and medium sized enterprises to support the implementation of long-term international strategies aimed at enhancing marketing capacity and improved competitiveness in global markets.,Offre du financement aux associations sectorielles ainsi qu'aux petites et moyennes entreprises afin de favoriser la mise en œuvre de stratégies internationales à long terme visant à rehausser la capacité de commercialisation et à améliorer la compétitivité sur les marchés mondiaux.,TB Submission,Présentation au Conseil du Trésor,AgriMarketing,Agri-marketing,ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,3,1,,,1.2.3,N,,141,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-3,aafc-aac - 03,"aafc-aac - AgriMarketing Program
 National Industry Association",
AgriInnovation Program Industry-led Research and Development (Stream B),"Programme Agri-innovation, Activités de recherche et développement dirigées par l'industrie (volet B)",EX,RES,"Provides support for pre-commercialization Research, Development and Knowledge Transfer leading to innovative agriculture, agri-food and agri-based practices, processes and products.","Offre un soutien à la recherche, au développement et au transfert des connaissances préalables à la commercialisation et qui déboucheront sur des pratiques, procédés et produits agricoles, agroalimentaires et agroindustriels innovateurs.",TB Submission,Présentation au Conseil du Trésor,AgriInnovation,Agri-innovation,IO,NA,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,4,1,,,2.1.3,N,,29,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-4,aafc-aac - 04,"aafc-aac - AgriScience Program 
Projects
",
AgriInnovation Program Enabling Commercialization and Adoption (Stream C),"Programme Agri-innovation, Facilitation de la commercialisation et de l'adoption (volet C)",EX,RES,"Provides repayable contributions to approved industry-led -commercial demonstration, commercialization or adoption projects.","Offre des contributions remboursables pour des projets approuvés de démonstration commerciale, de commercialisation ou d'adoption dirigés par l'industrie.",TB Submission,Présentation au Conseil du Trésor,AgriInnovation,Agri-innovation,ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,5,1,,,2.1.4,N,,36,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-5,aafc-aac - 05,"aafc-aac - AgriInnovate Program 
",
AgriInvest,Agri-investissement,EX,RES,"Provides matching contributions to producers who make annual deposits to an AgriInvest account, to help manage income declines or make investments to mitigate risks or improve market income.","Offre des contributions de contrepartie aux producteurs qui font des dépôts annuels dans un compte Agri-investissement, afin de gérer les baisses de revenus ou de faire des investissements dans le but d'atténuer les risques ou d'améliorer les revenus tirés du marché.",Farm Income Protection Act; Growing Forward 2 TB Submission,Loi sur la protection du revenu agricole ; Cultivons l'avenir 2 - Présentation au Conseil du Trésor,AgriInvest,Agri-investissement,ES,Y,Y,Y,Y,Y,Y,Y,aafc-aac,2016-2017,6,1,,,1.1.2,N,,108429,,0,0,,,15277,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-6,aafc-aac - 06,aafc-aac - AgriInvest,
AgriStability,Agri-stabilité,EX,RES,Provides income support to producers who experience a large margin decline.,Offre un soutien du revenu aux producteurs qui subissent une baisse importante de leur marge.,Farm Income Protection Act; Growing Forward 2 TB Submission,Loi sur la protection du revenu agricole; Cultivons l'avenir 2 - Présentation au Conseil du Trésor,AgriStability,Agri-stabilité,ES,Y,N,N,Y,N,Y,N,aafc-aac,2016-2017,7,1,,,1.1.1,N,,2223,,0,0,,,4570,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-7,aafc-aac - 07,aafc-aac - AgriStability,
Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,EX,AD,"Provides information on market structure and performance, forecasts, market reports, policy backgrounders, and analysis of various agricutlure products","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.",TB Submission,Présentation au Conseil du Trésor,Market Information and Analysis,Renseignements sur les marchés et analyses,ES,N,NA,NA,Y,Y,Y,Y,aafc-aac,2016-2017,8,1,,,1.2.3,N,,2945,,1700,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-8,aafc-aac - 08,aafc-aac - Domestic Statistics and Market Information Web,
AgriRisk,Agri-risques,EX,RES,"Provides support for research and development, implementation and administration of new risk management tools for use in the agriculture sector.","Offre une aide à la recherche et développement, à la mise en œuvre et à l'administration de nouveaux outils de gestion des risques qui seront utilisés dans le secteur agricole.",TB Submission,Présentation au Conseil du Trésor,AgriRisk Initiatives,Initiatives Agri-risques,IO,NA,Y,Y,Y,Y,Y,N,aafc-aac,2016-2017,9,8,,,1.1.5,N,,31,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-9,aafc-aac - 09,aafc-aac - AgriRisk,
Career Focus Program,Programme Objectif carrière,EX,RES,Provides funding to organizations for the creation of agricultural internships that provide young Canadians with meaningful career-related work experiences.,Offre du financement aux organisations pour la création de stages en agriculture qui permettent aux jeunes Canadiens d'acquérir des expériences professionnelles utiles.,TB Submission,Présentation au Conseil du Trésor,Career Focus Program,Programme Objectif carrière,ES,N,NA,NA,Y,Y,N,N,aafc-aac,2016-2017,10,8,,,2.2.2,N,,89,,0,0,,,0,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016-2017-aafc-aac-10,aafc-aac - 10,aafc-aac - Career Focus Program,
