owner_org,fiscal_yr,service_id,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,service_std_target,gcss_tool_fiscal_yr,realtime_result_url_en,realtime_result_url_fr,q1_performance_result,q1_business_volume,q2_performance_result,q2_business_volume,q3_performance_result,q3_business_volume,q4_performance_result,q4_business_volume,owner_org_title,performance,Standard Unique Identifier,New Service ID
aafc-aac,2017-2018,AAFC_AAC-001,AAFC-001-02,Our goal is to notify you if your application has been accepted or not by end of next business day,Notre objectif est d'accuser réception de vos demandes d'ici un (1) jour ouvrable.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,69,69,72,72,55,55,61,61,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-001,aafc-aac - 01
aafc-aac,2017-2018,AAFC_AAC-001,AAFC-001-03,Our goal is to have all necessary documentation sent to creditors and producer seven (7) business days prior to the mediation meeting,Notre but est d'envoyer toute la documentation nécessaire aux créanciers et aux producteurs sept (7) jours avant la réunion de médiation.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,ACS,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,52,52,62,63,42,45,42,44,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,97.10%,2017-2018-aafc-aac-001,aafc-aac - 01
aafc-aac,2017-2018,AAFC_AAC-001,AAFC-001-01,Our goal is to respond to general inquiries made to our phone number or email address before the end of the next business day,Notre objectif est de répondre aux demandes de renseignements générales reçues par téléphone ou par courriel avant la fin du jour ouvrable suivant.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,1867,1914,1534,1555,1143,1149,1266,1316,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,97.90%,2017-2018-aafc-aac-001,aafc-aac - 01
aafc-aac,2017-2018,AAFC_AAC-001,AAFC-001-04,Our goal is to schedule the first mediation meeting within 70 calendar days after acceptance of your application.,Notre but est de fixer la première réunion de médiation dans les 70 jours civils suivant l'acceptation de votre demande.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,46,52,47,63,43,47,32,44,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,81.60%,2017-2018-aafc-aac-001,aafc-aac - 01
aafc-aac,2017-2018,AAFC_AAC-002,AAFC-002-02,Send you an email acknowledging receipt of your application within 1 business day,D'accuser réception de votre demande dans un délai d'un jour ouvrable,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,ACS,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,1,1,3,3,3,3,1,1,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-002,aafc-aac - 02
aafc-aac,2017-2018,AAFC_AAC-002,AAFC-002-01,Respond to general inquiries made to our phone number or email address before the end of the next business day,De répondre aux demandes de renseignements générales que nous recevons par téléphone ou par courriel avant la fin du jour ouvrable suivant,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,5,5,12,12,2,2,15,15,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-002,aafc-aac - 02
aafc-aac,2017-2018,AAFC_AAC-002,AAFC-002-03,Notify you in writing of final approval or rejection within 100 business days of the application being deemed complete,D'évaluer votre demande et de vous envoyer une lettre d'approbation ou de rejet dans un délai de 100 jours ouvrables à compter de la date de réception de votre demande complète,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,ACS,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,4,5,1,1,2,2,3,3,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,90.90%,2017-2018-aafc-aac-002,aafc-aac - 02
aafc-aac,2017-2018,AAFC_AAC-002,AAFC-002-04,Send you a payment within 30 business days of receipt of a duly completed and documented claim. This is applicable only if an agreement is signed,Expédier un paiement dans les 30 jours ouvrables suivant la réception d’une demande de règlement dûment remplie et justifiée. Cette mesure s’applique uniquement si une entente est signée,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,5,5,22,24,23,24,16,18,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,93.00%,2017-2018-aafc-aac-002,aafc-aac - 02
aafc-aac,2017-2018,AAFC_AAC-003,AAFC-003-03,Notify you in writing of final approval or rejection within 100 business days of the application being deemed complete,D'évaluer votre demande et de vous envoyer une lettre d'approbation ou de rejet dans un délai de 100 jours ouvrables à compter de la date de réception de votre demande complète,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-4-after-you-apply/?id=1515092708579,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515092708579,ACS,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-3-how-to-apply/?id=1515092640615,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515092640615,0,0,2,2,1,1,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-003,aafc-aac - 03
aafc-aac,2017-2018,AAFC_AAC-003,AAFC-003-01,Respond to general inquiries made to our phone number or email address before the end of the next business day,De répondre aux demandes de renseignements générales que nous recevons par téléphone ou par courriel avant la fin du jour ouvrable suivant,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-4-after-you-apply/?id=1515092708579,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515092708579,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-3-how-to-apply/?id=1515092640615,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515092640615,4,4,47,47,1,1,1,1,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-003,aafc-aac - 03
aafc-aac,2017-2018,AAFC_AAC-003,AAFC-003-02,Send you an email acknowledging receipt of your application within 1 business day,D'accuser réception de votre demande dans un délai d'un jour ouvrable,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-4-after-you-apply/?id=1515092708579,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515092708579,TML,80.00%,2017-2018,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-3-how-to-apply/?id=1515092640615,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515092640615,1,1,3,3,0,0,0,0,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,100.00%,2017-2018-aafc-aac-003,aafc-aac - 03
