owner_org,fiscal_yr,service_id,service_name_en,service_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,authority_en,authority_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,program_id_code,client_target_groups,service_fee,cra_business_number,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr,harmonized_service_id,harmonized_service_name_en,harmonized_service_name_fr,owner_org_title
aafc-aac,2017-2018,AAFC_AAC-004,"AgriScience Program 
Projects

Formerly
AgriInnovation Program 
Industry-led Research and Development (Stream B)",Programme Agri-science - projets,EX,RES,1,"The program aims to accelerate the pace of innovation by providing funding and support for pre-commercial science activities and cutting-edge research that benefits the agriculture and agri-food sector and Canadians.

This component aims to support specific shorter-term research activities to help industry overcome challenges and address fiscal barriers experienced by small and emerging sectors. They also seek to mitigate high risk opportunities that have the potential to yield significant returns.","L'objectif du programme est d'accélérer le rythme des innovations, au moyen du financement et du soutien d'activités scientifiques de pré-commercialisation et de la recherche de pointe pour le bénéfice du secteur de l'agriculture et de l'agroalimentaire et des Canadiens.

Les propositions de projets comprennent des projets uniques ou des ensembles plus restreints de projets qui sont moins détaillés qu'une grappe agroscientifique.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/agricultural-programs-and-services/agriscience-program-projects/?id=1516993063537,http://www.agr.gc.ca/fra/programmes-et-services-agricoles/programme-agri-science-projets/?id=1516993063537,AgriScience,Agri-science,2.13,IO,N,NA,NA,28,3060,162,0,0,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 04,"AgriScience Program 
Projects",Programme Agri-science - projets,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-008,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,EX,AD,1,"Provides information on market structure and performance, forecasts, market reports, policy backgrounders, and analysis of various agricutlure products","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/canadian-agri-food-sector/?id=1361290241756,http://www.agr.gc.ca/fra/secteur-agroalimentaire-canadien/?id=1361290241756,Market Information and Analysis,Renseignements sur les marchés et analyses,1.2.3,ES,N,NA,NA,0,4810,965,0,2270,0,0,NA,NA,Y,Y,Y,Y,ONL,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 08,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-010,Career Focus Program,Programme Objectif carrière,EX,RES,8,Provides funding to organizations for the creation of agricultural internships that provide young Canadians with meaningful career-related work experiences.,Offre du financement aux organisations pour la création de stages en agriculture qui permettent aux jeunes Canadiens d'acquérir des expériences professionnelles utiles.,TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/?id=1507746193436https://www.canada.ca/en/employment-social-development/services/funding/career-focus.html,https://www.canada.ca/fr/emploi-developpement-social/services/finanncement/objectif-carriere.html,Career Focus Program,Programme Objectif carrière,2.2.2,ES,N,Y,NA,160,6008,83,0,7,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 10,Career Focus Program,Programme Objectif carrière,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-012,Agricultural Youth Green Jobs Initiative,Initiative de stage en agroenvironnement,EX,RES,8,Help fund internships for post-secondary graduates working in the agriculture industry,Aide à financer des stages à l'intention des détenteurs d'un diplôme d'études postsecondaires qui travaillent dans le secteur agricole.,TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/agricultural-programs-and-services/youth-employment-and-skills-program/?id=1557778999519,http://www.agr.gc.ca/fra/programmes-et-services-agricoles/programme-demploi-et-de-competences-des-jeunes/?id=1557778999519,Career Focus Program (AYGJI is an initiaitve under te borader YES Career Focus program),Programme Objectif carrière (initiative de stage en agroenvironnement de la SEJ - Objectif carrière),2.2.2,ES,N,Y,NA,267,7566,400,0,29,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 12,Agricultural Youth Green Jobs Initiative,Initiative de stage en agroenvironnement,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-013,"Canadian Agricultural Adaptation Program 
(2014-2019)","Programme canadien d'adaptation agricole
(2014-2019)",EX,RES,8,"Provides support to the agriculture, agri-food, and agri-based products sector to seize opportunities, respond to new and/or emerging issues, and pathfind and/or pilot solutions to new and ongoing issues to adapt and remain competitive.","Aide le secteur de l'agriculture, de l'agroalimentaire et des produits agroindustriels à saisir les débouchés, à réagir aux enjeux nouveaux et émergents et à trouver et à tester des solutions aux problèmes nouveaux et courants afin de s'adapter et de demeurer concurrentiel.",A-Base,Services votés,http://www.agr.gc.ca/eng/agricultural-programs-and-services/?id=1362151577626,http://www.agr.gc.ca/fra/programmes-et-services-agricoles/?id=1362151577626,Canadian Agricultural Adaptation Program,Programme canadien d'adaptation agricole,2.2.7,IO,N,Y,NA,2,4545,24,0,74,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 13,Canadian Agricultural Adaptation Program ,"Programme canadien d'adaptation agricole
(2014-2019)",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-016,Market Access Single Window - Market Intelligence and Information Service,Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés,EX,RES,8,"Provides market intelligence reports and trade data to the agriculture, agri-food and seafood industries to increase the Canadian sector's competitiveness in global markets and provides coordinated direct market research reports through provinces to industry to help increase their international business knowledge in order to make more informed business decisions","Offre des rapports sur les marchés et des données commerciales aux industries agricoles, agroalimentaires et des produits de la mer afin d'accroître la compétitivité du secteur canadien sur les marchés mondiaux, et fournit à l'industrie des rapports coordonnés sur les études de marché par l'entremise des provinces  afin d'améliorer ses connaissances sur le commerce international et de lui permettre de prendre de meilleures décisions d'affaires.",TB Submission/A-base,Présentation au Conseil du Trésor / services votés,http://www.agr.gc.ca/eng/international-trade/market-intelligence/?id=1410083148447,http://www.agr.gc.ca/fra/commerce-international/renseignements-sur-les-marches/?id=1410083148447,Global Market Information and Analysis,Services de renseignements sur les marchés,1.2,ES,N,N,NA,0,14130,12,17,87,0,0,NA,NA,Y,Y,Y,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 16,Market Access Single Window - Market Intelligence and Information Service,Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-017,Market Access Single Window - Market Access Services,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,EX,RES,8,"Provides a single window email account that allows for 2-way communication with external stakeholders (industry, provinces, territories) on market access through three functions: 
-Incoming requests for information from outside stakeholders;
 - Mechanism to broadcast messages of wide interest to stakeholders;
 - Mechanism to solicit information or feedback from outside stakeholders","Offre un compte courriel à guichet unique qui permet une communication bilatérale avec des intervenants externes (industrie, provinces, territoires) sur l'accès aux marchés grâce à trois fonctions : il répond aux demandes d’information des intervenants externes; il diffuse des messages d’intérêt général aux intervenants; il sollicite de l’information ou des commentaires auprès des intervenants externes",TB Submission/A-base,Présentation au Conseil du Trésor / services votés,http://www.agr.gc.ca/eng/international-trade/agri-food-trade-issues/?id=1383918945146,http://www.agr.gc.ca/fra/commerce-international/enjeux-du-commerce-agroalimentaire/?id=1383918945146,Market Access,D'accès aux marchés,1.2,ES,N,N,NA,0,4631,0,0,503,0,0,NA,NA,Y,Y,Y,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 17,Market Access Single Window - Market Access Services,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-018,Market Access Single Window - Canada Brand and Market Development,Guichet unique pour l'accès aux marchés - Marque Canada,EX,RES,8,"Provides the Canadian food and agriculture industry with a competitive advantage, internationally and at home, through a set of tools to positively differentiate the sector.",Offre à l'industrie canadienne de l'alimentation et de l'agriculture un avantage concurrentiel au pays et à l'étranger grâce à différents outils permettant de différencier positivement le secteur,TB Submission/A-base,Présentation au Conseil du Trésor / services votés,https://marquecanadabrand.agr.gc.ca/intro/index-eng.html,https://marquecanadabrand.agr.gc.ca/intro/index-fra.html,Canada Brand,Marque Canada,1.2,ES,N,N,NA,19,8840,9,0,2,0,0,Y,NA,Y,Y,Y,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service.",,aafc-aac - 18,Market Access Single Window - Canada Brand and Market Development,Guichet unique pour l'accès aux marchés - Marque Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-026,Dairy Processing Investment Fund,Fonds d'investissement dans la transformation des produits laitiers,EX,RES,8,"Helps dairy processors modernize their operations and, in turn, improve efficiency and productivity, as well as diversify their products to pursue new market opportunities.","Aide les transformateurs de lait à moderniser leurs installations et, par le fait même, à accroître leur efficacité et leur productivité et à diversifier leurs produits pour tirer parti des nouveaux débouchés commerciaux.",TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/dairy-processing-investment-fund/?id=1491935288949,http://www.agr.gc.ca/fra/programmes-et-services/fonds-d-investissement-dans-la-transformation-des-produits-laitiers/?id=1491935288949,Diary Processing Investement Fund,Fonds d'investissement dans la transformation des produits laitiers,1.2.8,ES,N,N,NA,0,8036,63,0,101,0,0,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 926,Dairy Processing Investment Fund,Fonds d'investissement dans la transformation des produits laitiers,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
aafc-aac,2017-2018,AAFC_AAC-027,Dairy Farm Investment Program  Producers,Programme d'investissement pour fermes laitières,EX,RES,8,Provides targeted contributions to help Canadian dairy farmers update farm technologies and systems and improve productivity through upgrades to their equipment,Offre des contributions ciblées pour aider les producteurs laitiers canadiens à mettre à niveau  leurs technologies et leurs systèmes et à améliorer leur productivité en modernisant leur équipement.,TB Submission,Présentation au Conseil du Trésor,http://www.agr.gc.ca/eng/programs-and-services/dairy-farm-investment-program/?id=1491935919994,http://www.agr.gc.ca/fra/programmes-et-services/programme-d-investissement-pour-fermes-laitieres/?id=1491935919994,Dairy Farm Investment,Programme d'investissement pour fermes laitières,1.2.8,ES,N,Y,NA,0,50779,739,0,3062,63,130,NA,NA,Y,Y,N,Y,ONL,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",,aafc-aac - 927,Dairy Farm Investment Program  Producers,Programme d'investissement pour fermes laitières,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
